instance                           n     g     D      it          obj_last          obj_best     runtime   run  starts
4-1.dat                            3     1     -      20             0.578             0.578       0.056     1      10
4-2.dat                            3     1     -      20             0.664             0.664       0.059     1      10
2-1.dat                            4     1     -      20             1.464             1.464       0.073     1      10
2-2.dat                            5     1     -      20             1.430             1.430       0.087     1      10
4-2.dat                            3     2     -      21             0.180             0.180       0.076     2      10
4-1.dat                            3     2     -      23             0.133             0.133       0.079     1      10
2-1.dat                            4     2     -      25             0.422             0.422       0.108     3      10
2-2.dat                            5     2     -      22             0.459             0.459       0.134     6      10
4-2.dat                            3     3     -      21             0.031             0.031       0.093     4      10
4-1.dat                            3     3     -      22             0.012             0.012       0.087     2      10
2-1.dat                            4     3     -      19             0.244             0.244       0.139     8      10
4-1.dat                            3     4     -      21             0.000             0.000       0.105     8      10
4-2.dat                            3     4     -      19             0.000             0.000       0.120     3      10
2-2.dat                            5     3     -      26             0.158             0.158       0.392     9      10
2-1.dat                            4     4     -      25             0.041             0.041       0.282     3      10
2-2.dat                            5     4     -      27             0.030             0.030       1.376     1      10
6-4.dat                           14     1     -      20             2.667             2.667       0.619     1      10
6-3.dat                           14     1     -      20             5.667             5.667       0.635     1      10
6-4.dat                           14     2     -      19             0.667             0.667       1.085     3      10
6-11.dat                          20     1     -      20            14.222            14.222       1.991     1      10
6-3.dat                           14     2     -      24             2.111             2.111       1.590     2      10
6-4.dat                           14     3     -      22             0.222             0.222       1.976     4      10
6-12.dat                          20     1     -      20             5.667             5.667       1.753     1      10
6-3.dat                           14     3     -      24             0.556             0.556       3.555     8      10
6-4.dat                           14     4     -      25             0.000             0.000       2.893     2      10
6-11.dat                          20     2     -      25             6.111             6.111       6.347     2      10
6-18.dat                          24     1     -      20             7.667             7.667       2.964     1      10
6-12.dat                          20     2     -      23             2.444             2.444       4.558     2      10
6-3.dat                           14     4     -      26             0.000             0.000       6.887     3      10
6-28.dat                          24     1     -      20            29.778            29.778       3.627     1      10
6-18.dat                          24     2     -      21             2.222             2.222       7.064     3      10
6-12.dat                          20     3     -      24             0.222             0.222       8.807     2      10
6-12.dat                          20     4     -      27             0.000             0.000      18.209     8      10
14-1.dat                          10     1     -      20            13.089            13.089       0.320     1      10
6-18.dat                          24     3     -      26             0.444             0.444      21.557     2      10
14-1.dat                          10     2     -      33             4.231             4.231       2.628     3      10
6-28.dat                          24     2     -      26            12.556            12.556      36.239     2      10
6-11.dat                          20     3     -      26             2.667             2.667      52.068     2      10
6-18.dat                          24     4     -      27             0.000             0.000      39.343     4      10
15-48.dat                         10     1     -      20            13.000            13.000       0.345     1      10
15-48.dat                         10     2     -      25             2.000             2.000       0.868     2      10
15-48.dat                         10     3     -      25             0.000             0.000       2.858     4      10
15-48.dat                         10     4     -      27             0.000             0.000      10.569     1      10
14-1.dat                          10     3     -      38             2.355             2.355      68.987     8      10
6-11.dat                          20     4     -      29             0.444             0.444     401.730     4      10
6-28.dat                          24     3     -      27             7.333             7.333    1499.899     4      10
14-1.dat                          10     4     -      35             1.493             1.493    2320.270     4      10
6-28.dat                          24     4     -      35             3.333             3.333    4216.059     4      10
15-74.dat                         20     1     -      20            39.333            39.333       2.098     1      10
15-74.dat                         20     2     -      26             9.333             9.333      18.491     2      10
15-74.dat                         20     3     -      27             0.000             0.000     284.330     4      10
15-74.dat                         20     4     -      27             0.000             0.000     885.503     1      10
6-48.dat                          24     1     -      20            12.111            12.111       2.983     1      10
6-48.dat                          24     2     -      24             4.000             4.000       8.585     2      10
6-48.dat                          24     3     -      26             0.778             0.778      26.206     4      10
6-48.dat                          24     4     -      29             0.000             0.000      70.180     4      10

