n: 24
m: 9
a:
[
     0     2     4     1     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     7     0     5     4     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     5     4     0     2     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     8     5     7     0     0     0     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     0     3     9     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     6     0     9     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     2     1     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     0     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     8     8     9     6     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     8     7     0     2     2     2     2     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     7     0     6     6     6     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     7     3     0     4     3     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     7     3     5     0     5     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     7     3     6     4     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     9     9     9     9     0     3     0     3     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     0     2     0     2     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     7     0     4     1     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     9     5     0     3     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     7     8     6     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     9     9     9     7
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     6     9     9     9     9     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     9     0     9     6
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     6     9     9     9     9     0     9     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     2     9     3     9     0
]
