n: 10
m: 4926
a:
[
      0   2126   2805   2550   2407   3386   1410   2815   3721   2339
   2800      0   3334   2788   2675   3738   1281   3555   4273   2778
   2121   1592      0   2300   2010   3055   1129   2459   3778   1801
   2376   2138   2626      0   2374   2881   1395   2586   3249   2282
   2519   2251   2916   2552      0   3286   1458   2902   3689   2488
   1540   1188   1871   2045   1640      0    890   1765   3243   1419
   3516   3645   3797   3531   3468   4036      0   4027   4340   3492
   2111   1371   2467   2340   2024   3161    899      0   4030   1918
   1205    653   1148   1677   1237   1683    586    896      0    774
   2587   2148   3125   2644   2438   3507   1434   3008   4152      0
]
