n: 14
m: 9
a:
[
     0     0     9     8     0     9     0     0     9     0     6     9     0     9
     9     0     9     9     0     9     0     1     9     0     9     9     5     9
     0     0     0     0     0     0     0     0     2     0     0     3     0     0
     1     0     9     0     0     7     0     0     9     0     3     9     0     7
     9     9     9     9     0     9     0     8     9     0     9     9     9     9
     0     0     9     2     0     0     0     0     7     0     0     9     0     2
     9     9     9     9     9     9     0     9     9     0     9     9     9     9
     9     8     9     9     1     9     0     0     9     0     9     9     6     9
     0     0     7     0     0     2     0     0     0     0     1     8     0     1
     9     9     9     9     9     9     9     9     9     0     9     9     9     9
     3     0     9     6     0     9     0     0     8     0     0     9     0     9
     0     0     6     0     0     0     0     0     1     0     0     0     0     0
     9     4     9     9     0     9     0     3     9     0     9     9     0     9
     0     0     9     2     0     7     0     0     8     0     0     9     0     0
]
