n: 14
m: 9
a:
[
     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     0     1     0     0     0     0     0     0     0     0     0     0
     9     9     8     0     0     1     0     0     0     0     0     0     0     0
     9     9     9     9     0     8     3     1     0     0     0     0     0     0
     9     9     9     8     1     0     0     0     0     0     0     0     0     0
     9     9     9     9     6     9     0     7     0     0     0     0     0     0
     9     9     9     9     8     9     2     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     0     9     0     0     2     0
     9     9     9     9     9     9     9     9     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     0     9     9     9
     9     9     9     9     9     9     9     9     9     9     0     0     9     1
     9     9     9     9     9     9     9     9     7     9     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     0     8     9     0
]
