n: 20
m: 9
a:
[
     0     2     9     9     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0
     7     0     9     9     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     0     0     0     1     0     0     8     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     0     0     3     0     0     8     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     0     9     9     1     9     9     0     4     0     0     0     0     0     0
     9     9     9     9     8     6     0     0     0     0     8     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     0     9     0     0     9     4     0     1     0     0     0     0     0     0
     9     9     9     9     9     9     8     9     9     0     9     9     0     7     0     0     0     0     0     0
     8     8     9     9     1     1     0     1     0     0     0     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     0     9     5     0     9     0     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     0     9     6     5     0     0     1     0
     9     9     9     9     9     9     5     9     8     2     9     9     0     0     0     0     0     0     0     0
     9     9     9     9     9     9     9     9     9     9     9     9     3     9     0     3     0     1     1     0
     9     9     9     9     9     9     9     9     9     9     9     9     4     9     6     0     0     0     1     0
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     0     4     9     1
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     8     9     5     0     9     1
     9     9     9     9     9     9     9     9     9     9     9     9     8     9     8     8     0     0     0     1
     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     9     8     8     8     0
]
