instance                           n     g     D         obj       bound      gap%    sols       nodes    status     runtime
R2.dat                            30     1    22      84.138      84.138     0.000       3           1         2       0.197
R1.dat                            30     1    22     129.101     129.101     0.000       2           1         2       0.213
R3.dat                            30     1    22     160.144     160.144     0.000       4           1         2       0.461
R5.dat                            30     1    22     136.489     136.489     0.000       2           1         2       0.192
R4.dat                            30     1    22     156.406     156.406     0.000       3           1         2       0.200
R6.dat                            30     1    22     144.536     144.536     0.000       2           1         2       0.678
R7.dat                            36     1    32     204.701     204.701     0.000       6           1         2       1.716
R8.dat                            36     1    32     163.139     163.139     0.000       3           1         2       0.759
R10.dat                           36     1    32     231.396     231.396     0.000       2           1         2       0.995
R11.dat                           36     1    32     233.020     233.020     0.000       3           1         2       1.039
R9.dat                            36     1    32     231.619     231.619     0.000       2           1         2       1.667
R12.dat                           36     1    32     175.407     175.407     0.000       2           1         2       2.011
R14.dat                           42     1    44     230.084     230.084     0.000       3           1         2       2.377
R13.dat                           42     1    44     252.197     252.197     0.000       2           1         2       2.609
R15.dat                           42     1    44     321.824     321.824     0.000       3           1         2       2.993
R16.dat                           42     1    44     282.544     282.544     0.000       2           1         2       2.722
R18.dat                           42     1    44     309.659     309.659     0.000       2           1         2       3.350
R17.dat                           42     1    44     324.528     324.528     0.000       3           1         2       3.815
R1.dat                            30     2    22      17.312       6.022    65.214       6        7740         9    7200.000
R2.dat                            30     2    22      18.148       8.357    53.950      10        8054         9    7200.000
R3.dat                            30     2    22      63.928      11.093    82.647      10        3370         9    7200.000
R4.dat                            30     2    22      65.911      17.766    73.045      10        2655         9    7200.000
R5.dat                            30     2    22      56.373      13.092    76.775      10        3977         9    7200.000
R6.dat                            30     2    22      86.767      12.388    85.723      10        1648         9    7200.000
R8.dat                            36     2    32      24.567       4.631    81.150      10        1423         9    7200.000
R7.dat                            36     2    32      25.027       4.420    82.339      10        1257         9    7200.000
R9.dat                            36     2    32      88.015       2.649    96.990      10         628         9    7200.000
R10.dat                           36     2    32     103.503      20.583    80.113      10         256         9    7200.000
R11.dat                           36     2    32     106.634       2.218    97.920      10         147         9    7200.000
R12.dat                           36     2    32     138.095       9.061    93.438      10           1         9    7200.000
R13.dat                           42     2    44      33.773       0.910    97.305      10        1182         9    7200.000
R14.dat                           42     2    44      33.510       5.238    84.368      10          16         9    7200.000
R15.dat                           42     2    44     140.380       1.588    98.869      10           1         9    7200.000
R16.dat                           42     2    44     141.076      20.602    85.397      10           1         9    7200.000
R17.dat                           42     2    44     131.528       2.341    98.220      10           1         9    7200.000
R18.dat                           42     2    44     225.849       9.305    95.880      10           1         9    7200.000
R1.dat                            30     3    22      12.172       0.000   100.000      10        7798         9    7200.000
R2.dat                            30     3    22      16.410       0.043    99.739      10        1135         9    7200.000
R3.dat                            30     3    22      17.631       0.000   100.000      10        1049         9    7200.000
R4.dat                            30     3    22      62.785       0.000   100.000      10         784         9    7200.000
R5.dat                            30     3    22      29.590       0.000   100.000      10        1111         9    7200.000
R6.dat                            30     3    22      50.624       0.000   100.000      10        1356         9    7200.000
R7.dat                            36     3    32      24.613       0.000   100.000      10         121         9    7200.000
R8.dat                            36     3    32      24.224       0.000   100.000       5        1098         9    7200.000
R10.dat                           36     3    32     102.002       0.000   100.000      10           1         9    7200.000
R9.dat                            36     3    32      60.503       0.000   100.000      10           1         9    7200.000
R11.dat                           36     3    32     106.410       0.000   100.000       3           1         9    7200.000
R12.dat                           36     3    32     136.929       0.000   100.000       3           1         9    7200.000
R13.dat                           42     3    44      33.773       0.000   100.000       1           1         9    7200.000
R14.dat                           42     3    44      33.510       0.000   100.000       1           1         9    7200.000
R15.dat                           42     3    44     140.380       0.000   100.000       1           1         9    7200.000
R16.dat                           42     3    44     141.076       0.000   100.000       1           1         9    7200.000
R18.dat                           42     3    44     225.849       0.000   100.000       1           1         9    7200.000
R17.dat                           42     3    44     131.528       0.000   100.000       1           1         9    7200.000
R1.dat                            30     4    22      11.539       0.000   100.000      10         382         9    7200.000
R2.dat                            30     4    22      10.932       0.000   100.000      10       11794         9    7200.000
R4.dat                            30     4    22      47.829       0.000   100.000      10           1         9    7200.000
R3.dat                            30     4    22      16.979       0.000   100.000      10           1         9    7200.000
R5.dat                            30     4    22      17.428       0.000   100.000      10           3         9    7200.000
R6.dat                            30     4    22      49.256       0.000   100.000      10           1         9    7200.000
R8.dat                            36     4    32      24.224       0.000   100.000       1           1         9    7200.000
R7.dat                            36     4    32      24.585       0.000   100.000       4           1         9    7200.000
R9.dat                            36     4    32      60.503       0.000   100.000       1           1         9    7200.000
R10.dat                           36     4    32     102.002       0.000   100.000       1           1         9    7200.000
R12.dat                           36     4    32     136.929       0.000   100.000       1           1         9    7200.000
R11.dat                           36     4    32     105.858       0.000   100.000       2           1         9    7200.000
R13.dat                           42     4    44      33.773       0.000   100.000       1           1         9    7200.000
R14.dat                           42     4    44      33.510       0.000   100.000       1           1         9    7200.000
R16.dat                           42     4    44     141.076       0.000   100.000       1           1         9    7200.000
R15.dat                           42     4    44     140.380       0.000   100.000       1           1         9    7200.000
R17.dat                           42     4    44     131.528       0.000   100.000       1           1         9    7200.000
R18.dat                           42     4    44     225.849       0.000   100.000       1           1         9    7200.000
