n: 42
g: 3
D: 44
a:
[ 
    500   1000    857    857    852    713  973.5    836    283    714  212.5  451.5    147    714  695.5    857  790.5  925.5    858    857    571    571    714    786   1000  682.5  983.5    714    714  712.5  856.5  573.5     51    181  711.5    857  713.5  575.5  518.5   1000  996.5  869.5
      0    500     80  855.5    286   65.5    143    126    143    708  141.5      0    143  485.5    112    306  293.5    143  604.5     13      0     57    707     11    400      0    832  649.5    149    143    578    571    0.5    143    554    847   13.5      1      0    424    714    202
    143    920    500    862  415.5    143  143.5  680.5    143    714    143   30.5    143    713    143    754  693.5  145.5  780.5    141  100.5  520.5    714  150.5    416    147  990.5    714    440    143  712.5  709.5    143    143    714  855.5    231    241    128  427.5  718.5  386.5
    143  144.5    138    500  379.5    143    143  142.5    143    143    143  118.5    143    143    143    293    142    143  142.5   35.5  135.5     14    144    143  152.5    143  261.5    143    143    143  161.5    352    143    143    143     87    143    143  141.5    227  147.5  145.5
    148    714  584.5  620.5    500    675    584    642  145.5    714  143.5     20    143    714    284  675.5    641    194    646    571    582    571    714    714  710.5  713.5  714.5    714    714    677    644    691  140.5  143.5    714  578.5    714    706    124    732    714    587
    287  934.5    857    857    325    500  536.5    857    145  718.5    428  287.5  428.5    890  416.5    857    857    433    857    857    819    598   1000    847    914  837.5  857.5    986    913  429.5    857    641   27.5    429    859    857  859.5  841.5  291.5  907.5   1000  385.5
   26.5    857  856.5    857    416  463.5    500  730.5    133    590      4      9    143    571   50.5    857  639.5    304    856    850  569.5    571    609    580  981.5  568.5    857    572  643.5  472.5  838.5    571      0    140    571    857    571    571     19    843    911  567.5
    164    874  319.5  857.5    358    143  269.5    500    143  713.5  143.5    6.5    143    676    143  363.5  579.5  274.5  926.5    281     14    156    713  150.5    429    143  999.5  700.5  165.5    143  896.5    694    142    144    707    857  146.5    142     63    429    930  426.5
    717    857    857    857  854.5    855    867    857    500  756.5  443.5  789.5    431    857  850.5    857    857  950.5    857    857    857    837    860    857  995.5    857    857    857  866.5    807    857  851.5  291.5  461.5    857    857    857    857    838    857  890.5  856.5
    286    292    286    857    286  281.5    410  286.5  243.5    500    307    286    429    316  286.5    286  293.5    429  749.5    286  285.5    255  674.5    286    429    286    857    343  413.5    250    838  848.5    257  428.5    420  853.5    286    286    286  294.5    947    286
  787.5  858.5    857    857  856.5    572    996  856.5  556.5    693    500  793.5    184  575.5  616.5    857  855.5  990.5    857    857    571    571  704.5    838   1000  571.5    857    587    710    681    857    571     66  501.5    654    857    571    571    576  892.5    999    857
  548.5   1000  969.5  881.5    980  712.5    991  993.5  210.5    714  206.5    500  146.5    714  674.5    889  981.5    879    996  867.5  689.5    575    714  925.5   1000    714   1000    714    714  713.5    998  713.5    146  230.5    728  858.5    714    714  590.5   1000    999    995
    853    857    857    857    857  571.5    857    857    569    571    816  853.5    500    819  853.5    857    857    897    857    857    575    571  790.5    857  946.5  660.5    857    599  573.5    571    857    571  351.5  773.5    855    857  611.5    586  841.5    857  860.5    857
    286  514.5    287    857    286    110    429    324    143    684  424.5    286    181    500    386    293    413    429  850.5    286      1     15    768    312    429     23  858.5  544.5    144    143  856.5    571      0    428    780    857     38      4  215.5    427  997.5    286
