n: 36
g: 3
D: 32
a:
[ 
    500    577  575.5    571     13    571   30.5    571    845    571    571    571  852.5    571    534  571.5    310    571  901.5    212    571  856.5    571  827.5     86    857    857    571  741.5  857.5    567     70    537  367.5    585  566.5
    423    500  655.5    571    113    571    235  571.5    857    571    579    571  380.5    576     16  590.5    268  562.5    992  285.5  568.5    858    571    856      0    842    857    432  291.5    883  102.5  351.5   62.5    286  230.5     93
  424.5  344.5    500    687    143  570.5    376  597.5    993  711.5  721.5    714  311.5    714    0.5  591.5  410.5  506.5    996    286    688   1000  713.5    856  124.5  708.5    998    282    428  999.5     84    421     61    286    154    133
    429    429    313    500    143  471.5    429  788.5    971    469    993    849    289  711.5      0    855    429    9.5  581.5    286  175.5   1000    745  855.5   79.5    288  952.5    144  422.5  884.5   74.5    429    286    286    143     72
    987    887    857    857    500    857    733    857    857    857    857  857.5    857  833.5  781.5    857  851.5  638.5  981.5    418    855  857.5    857    857    555    857    857    852    855  865.5    857    448    856    812  952.5    599
    429    429  429.5  528.5    143    500    429  997.5   1000    444   1000    985  428.5  708.5    115    987    429    145  475.5  320.5  225.5    996    895  873.5    143    425    895  177.5    429  727.5  365.5    429    428    303    152    143
  969.5    765    624    571    267    571    500    571    857    571    572    571    857  639.5    570  574.5    780    571   1000  325.5    571    884    571    856    445    857    857    575    851    967    571    436  581.5  745.5  713.5  570.5
    429  428.5  402.5  211.5    143    2.5    429    500    620  366.5    454    212    309    143    2.5  357.5    429   25.5    429    286  144.5  433.5  161.5  286.5    139    295    429  143.5    429    429  140.5    429  314.5    286    143    138
    155    143      7     29    143      0    143    380    500    141  208.5  165.5    285    144      0  128.5    143      0  282.5   21.5    142    381    136     73     31  284.5    402    143  388.5  424.5    8.5    146      0  253.5    143     23
    429    429  288.5    531    143    556    429  633.5    859    500  915.5  707.5    286    714      0    825    426   53.5  861.5    286  222.5  999.5  597.5    857      1  307.5    864    135    294  982.5    4.5    429  273.5    286    143      0
    429    421  278.5      7    143      0    428    546  791.5   84.5    500    194    286  162.5      0    628    414      0    429    286   24.5  483.5     10  310.5      0    286  289.5    113    286    428      1    429  259.5    286    143      0
    429    429    286    151  142.5     15    429    788  834.5  292.5    806    500    286  189.5      0  798.5    417      0    429    286     34  566.5   64.5  329.5      0    286  293.5    115    289  429.5     54    429    286    286    143      0
  147.5  619.5  688.5    711    143  571.5    143    691    715    714    714    714    500    714   74.5    581    150    645    714      0    713  714.5    714    571  144.5  670.5    893    677    177    747  423.5    143  151.5      2  418.5    419
    429    424    286  288.5  166.5  291.5  360.5    857    856    286  837.5  810.5    286    500   69.5  851.5  294.5   11.5    429    286  270.5  766.5  390.5  565.5    0.5    286    326    264    286    415  284.5  424.5    286    286    357    2.5
    466    984  999.5   1000  218.5    885    430  997.5   1000   1000   1000   1000  925.5  930.5    500  957.5    461  735.5   1000    301    996   1000   1000  871.5  161.5  981.5   1000  982.5  544.5   1000    927  429.5    699  299.5  883.5  641.5
  428.5  409.5  408.5    145    143     13  425.5  642.5  871.5    175    372  201.5    419  148.5   42.5    500    427  135.5    429  290.5    143  453.5  144.5  295.5    143    392    429    143    429    429  143.5    428  349.5    289    143    143
    690    732  589.5    571  148.5    571    220    571    857    574    586    583    850  705.5    539    573    500    571   1000    274    575  968.5    572    854     85    857    857  608.5    742    998    567    354    536    381    706    566
    429  437.5  493.5  990.5  361.5    855    429  974.5   1000  946.5   1000   1000    355  988.5  264.5  864.5    429    500  978.5  287.5  867.5   1000  999.5  857.5    199    461    999  457.5    429  997.5  422.5    429  360.5    286  426.5    203
   98.5      8      4  418.5   18.5  524.5      0    571  717.5  138.5    571    571    286    571      0    571      0   21.5    500     17   68.5    805  567.5  633.5      0  295.5    845    0.5  280.5    806      0      6      0    260   39.5      0
    788  714.5    714    714    582  679.5  674.5    714  978.5    714    714    714   1000    714    699  709.5    726  712.5    983    500    714    995    714    858    702  998.5   1000    714    999   1000    714    464  713.5    883    714    714
    429  431.5    312  824.5    145  774.5    429  855.5    858  777.5  975.5    966    287  729.5      4    857    425  132.5  931.5    286    500    998  849.5    857    0.5    345  860.5    218  294.5    993    259    429    286    286    171      0
  143.5    142      0      0  142.5      4    116  566.5    619    0.5  516.5  433.5  285.5  233.5      0  546.5   31.5      0    195      5      2    500     37  141.5      0  283.5  294.5   14.5    252  412.5      0  142.5      0    213    143      0
    429    429  286.5    255    143    105    429  838.5    864  402.5    990  935.5    286  609.5      0  855.5    428    0.5  432.5    286  150.5    963    500  740.5    2.5    286  451.5    152    316  474.5    139    429    286    286    148    1.5
  172.5    144    144  144.5    143  126.5    144  713.5    927    143  689.5  670.5    429  434.5  128.5  704.5    146  142.5  366.5    142    143  858.5  259.5    500    143  426.5  479.5    143  427.5  441.5    143  150.5    143    316    143    143
    914   1000  875.5  920.5    445    857    555    861    969    999   1000   1000  855.5  999.5  838.5    857    915    801   1000    298  999.5   1000  997.5    857    500  857.5  990.5   1000  964.5   1000  874.5  440.5  849.5  581.5    997    773
    143    158  291.5    712    143    575    143    705  715.5  692.5    714    714  329.5    714   18.5    608    143    539  704.5    1.5    655  716.5    714  573.5  142.5    500  954.5    205    174  788.5  145.5    143  116.5     12    144  145.5
    143    143      2   47.5    143    105    143    571    598    136  710.5  706.5    107    674      0    571    143      1    155      0  139.5  705.5  548.5  520.5    9.5   45.5    500    142     79  280.5    0.5    143      0    1.5    143      6
    429    568    718    856    148  822.5    425  856.5    857    865    887    885    323    736   17.5    857  391.5  542.5  999.5    286    782  985.5    848    857      0    795    858    500    289  999.5    313    429    289    286  239.5   35.5
  258.5  708.5    572  577.5    145    571    149    571  611.5    706    714    711    823    714  455.5    571    258    571  719.5      1  705.5    748    684  572.5   35.5    826    921    711    500    937  553.5    143  446.5   95.5  693.5  555.5
  142.5    117    0.5  115.5  134.5  272.5     33    571  575.5   17.5    572  570.5    253    585      0    571      2    2.5    194      0      7  587.5  525.5  558.5      0  211.5  719.5    0.5     63    500      0  121.5      0     31    141      0
    433  897.5    916  925.5    143  634.5    429  859.5  991.5  995.5    999    946  576.5  715.5     73  856.5    433  577.5   1000    286    741   1000    861    857  125.5  854.5  999.5    687  446.5   1000    500    429    370    286  422.5    399
    930  648.5    579    571    552    571    564    571    854    571    571    571    857  575.5  570.5    572    646    571    994    536    571  857.5    571  849.5  559.5    857    857    571    857  878.5    571    500  573.5  845.5  701.5    571
    463  937.5    939    714    144    572  418.5  685.5   1000  726.5  740.5    714  848.5    714    301  650.5    464  639.5   1000  286.5    714   1000    714    857  150.5  883.5   1000    711  553.5   1000    630  426.5    500  295.5    634    641
  632.5    714    714    714    188    697  254.5    714  746.5    714    714    714    998    714  700.5    711    619    714    740    117    714    787    714    684  418.5    988  998.5    714  904.5    969    714  154.5  704.5    500  712.5    713
