n: 30
g: 2
D: 22
a:
[ 
    500  104.5      0      5      0      0      0      0   34.5      0    104     37      0      0  409.5      0      0    2.5     10    8.5      2      0    463    1.5      0    406   14.5  408.5  339.5      0
  895.5    500    476    501    2.5    0.5      0      0  128.5      0    500    500      0    250    479      0      0  499.5    500   31.5    480      0  491.5  501.5      0    970    526    887    500   83.5
   1000    524    500    992    1.5  413.5      0  490.5    500      0  499.5  747.5      0    524    501      0      0  948.5    496    500    733   32.5    500  982.5     11  909.5  978.5    587  595.5    3.5
    995    499      8    500      0   15.5      0    110    500      0  464.5  417.5      0  395.5    500      0      0  101.5    263  498.5    493      0    500  514.5      0  511.5  568.5    500  497.5      0
   1000  997.5  998.5   1000    500    604   12.5    500  955.5    4.5    500  998.5     85    998  877.5     14      0   1000    575  539.5   1000    465  510.5   1000    385   1000   1000   1000  985.5  483.5
   1000  999.5  586.5  984.5    396    500    0.5  459.5    984    6.5    500    584      0    995  953.5      1      0    890    500    623   1000      9  543.5    999   20.5   1000   1000   1000    530    494
   1000   1000   1000   1000  987.5  999.5    500  531.5   1000    538  523.5   1000  463.5   1000   1000  624.5  116.5   1000    921    998   1000    527    994   1000    981   1000   1000   1000   1000    506
   1000   1000  509.5    890    500  540.5  468.5    500   1000  497.5    500    516    244  953.5   1000  489.5    414    617    500  999.5  996.5  235.5    999    984    499   1000  999.5   1000  501.5    500
  965.5  871.5    500    500   44.5     16      0      0    500      0    500    500      0    476  613.5      0      0    500    500     97  516.5      0    499  504.5    0.5    992    598    987    500    390
   1000   1000   1000   1000  995.5  993.5    462  502.5   1000    500  617.5   1000  493.5   1000  999.5    531     48   1000  979.5  983.5   1000  502.5  946.5   1000  876.5   1000   1000   1000   1000  534.5
    896    500  500.5  535.5    500    500  476.5    500    500  382.5    500    610  496.5    500    500    475     98    504    531    500    500    500    500    504    500    500  504.5    500  935.5   97.5
    963    500  252.5  582.5    1.5    416      0    484    500      0    390    500    0.5    499    500      0      0    487   92.5    500    500   39.5    500  512.5     10    502  518.5    500  574.5      0
   1000   1000   1000   1000    915   1000  536.5    756   1000  506.5  503.5  999.5    500   1000   1000  556.5  414.5   1000  731.5   1000   1000    734    999   1000    965   1000   1000   1000  997.5    500
   1000    750    476  604.5      2      5      0   46.5    524      0    500    501      0    500  507.5      0      0  506.5    500  495.5    936      0    500    877      0  996.5    991  914.5    500     80
  590.5    521    499    500  122.5   46.5      0      0  386.5    0.5    500    500      0  492.5    500      0      0    500    500     18    500      0  368.5    500      1  724.5  502.5    743    500  456.5
   1000   1000   1000   1000    986    999  375.5  510.5   1000    469    525   1000  443.5   1000   1000    500     48   1000    916  998.5   1000  510.5  986.5   1000  954.5   1000   1000   1000    999  506.5
   1000   1000   1000   1000   1000   1000  883.5    586   1000    952    902   1000  585.5   1000   1000    952    500   1000  998.5   1000   1000    588  998.5   1000  996.5   1000   1000   1000   1000    740
  997.5  500.5   51.5  898.5      0    110      0    383    500      0    496    513      0  493.5    500      0      0    500    433    500  517.5    0.5    500    753      0  585.5  775.5  505.5    508      0
    990    500    504    737    425    500     79    500    500   20.5    469  907.5  268.5    500    500     84    1.5    567    500    500    501  493.5    500  557.5  466.5    512    573  501.5  995.5    1.5
  991.5  968.5    500  501.5  460.5    377      2    0.5    903   16.5    500    500      0  504.5    982    1.5      0    500    500    500  577.5      0  591.5  530.5   39.5  998.5    754    997    500  497.5
    998    520    267    507      0      0      0    3.5  483.5      0    500    500      0     64    500      0      0  482.5    499  422.5    500      0    500  595.5      0  926.5    909  590.5    500      7
   1000   1000  967.5   1000    535    991    473  764.5   1000  497.5    500  960.5    266   1000   1000  489.5    412  999.5  506.5   1000   1000    500  999.5   1000  614.5   1000   1000   1000  876.5    500
    537  508.5    500    500  489.5  456.5      6      1    501   53.5    500    500      1    500  631.5   13.5    1.5    500    500  408.5    500    0.5    500    500    113  606.5  500.5    626    500  499.5
  998.5  498.5   17.5  485.5      0      1      0     16  495.5      0    496  487.5      0    123    500      0      0    247  442.5  469.5  404.5      0    500    500      0    571    734    504  499.5      0
   1000   1000    989   1000    615  979.5     19    501  999.5  123.5    500    990     35   1000    999   45.5    3.5   1000  533.5  960.5   1000  385.5    887   1000    500   1000   1000   1000  952.5    500
    594     30   90.5  488.5      0      0      0      0      8      0    500    498      0    3.5  275.5      0      0  414.5    488    1.5   73.5      0  393.5    429      0    500  425.5    287    500    0.5
  985.5    474   21.5  431.5      0      0      0    0.5    402      0  495.5  481.5      0      9  497.5      0      0  224.5    427    246     91      0  499.5    266      0  574.5    500    503    500      0
  591.5    113    413    500      0      0      0      0     13      0    500    500      0   85.5    257      0      0  494.5  498.5      3  409.5      0    374    496      0    713    497    500    500   18.5
  660.5    500  404.5  502.5   14.5    470      0  498.5    500      0   64.5  425.5    2.5    500    500      1      0    492    4.5    500    500  123.5    500  500.5   47.5    500    500    500    500      0
   1000  916.5  996.5   1000  516.5    506    494    500    610  465.5  902.5   1000    500    920  543.5  493.5    260   1000  998.5  502.5    993    500  500.5   1000    500  999.5   1000  981.5   1000    500
]
