n: 42
g: 2
D: 44
a:
[ 
    500  999.5  994.5    751   1000   1000    927   1000   1000    566    998   1000    960    598   1000  841.5   1000   1000   1000   1000  914.5  967.5  998.5  758.5   1000   1000   1000  998.5   1000    687   1000   1000   1000   1000   1000   1000    973  753.5   1000   1000   1000   1000
    0.5    500     23    500   1000  504.5  501.5   1000    991    500    500    501      5    500   1000    0.5   1000   1000  510.5   1000    500    500  639.5    500   1000    389    999  193.5    887   63.5  971.5  937.5    998   1000   1000    898    500  477.5  977.5    996   1000   1000
    5.5    977    500  500.5   1000  935.5  522.5   1000   1000    500  624.5    863  133.5    500   1000   62.5   1000   1000    984   1000  503.5    553  939.5    501   1000  981.5   1000    848   1000    499   1000  996.5   1000   1000   1000   1000    512    500   1000   1000   1000   1000
    249    500  499.5    500   1000   1000    500  965.5    500    562  998.5  999.5  473.5     93    999    494    636    996   1000  555.5    907    500    500    645   1000    500    510    500  999.5    500    526    500    501    999    984    500  971.5  250.5  889.5   1000   1000   1000
      0      0      0      0    500  495.5      0    0.5     98    500    500  440.5      0      0  591.5      0    370   24.5    499    2.5    500      0    106      0  477.5      0      0      0    384      0      0      0    0.5  513.5     19      0  493.5      0    0.5    500  508.5    537
      0  495.5   64.5      0  504.5    500    500    500    500    499    523    156      1      0  502.5    9.5    500    500  807.5    500  371.5    500    500      0    568    431    500  489.5  509.5    477    500    500    500    501    500  498.5    147      0  499.5    999  988.5    980
     73  498.5  477.5    500   1000    500    500  743.5   1000    500    500    500  431.5    500   1000  138.5   1000    902    500  982.5    500    375  995.5    500    741    500    581    488    500   46.5    501  573.5    960   1000  997.5    500    500    500  500.5  506.5  997.5   1000
      0      0      0   34.5  999.5    500  256.5    500    500    500    500    499      0    0.5    992      0  517.5  834.5    500  493.5    500   31.5    500  111.5  742.5      0     89      0    499      0      4     85  464.5    978  849.5      0    500      0    116  509.5    997  999.5
      0      9      0    500    902    500      0    500    500    500    500    500      0  470.5  984.5      0  961.5  500.5    500    514    500      0    277    500    500     25  488.5      0    500      0  495.5     70  363.5    987    535  428.5    500  145.5    500    500    539  613.5
    434    500    500    438    500    501    500    500    500    500  832.5    500  496.5    305    500    500    500    500    510    500    491    500    500    448    500    500    500    500    500    500    500    500    500    500    500    500    498    436    500  639.5    565  527.5
      2    500  375.5    1.5    500    477    500    500    500  167.5    500  437.5   40.5      0    500  135.5    500    500  499.5    500     15    500    500    3.5    500    496    500    500    500    498    500    500    500    500    500    500   46.5    4.5    500    593  534.5  512.5
      0    499    137    0.5  559.5    844    500    501    500    500  562.5    500    4.5      0  526.5     25    500  501.5  939.5    500  492.5    500    500      1  861.5    478    500    497  645.5  490.5    500    500    500  510.5    500    499  445.5      0    500   1000    999  999.5
     40    995  866.5  526.5   1000    999  568.5   1000   1000  503.5  959.5  995.5    500    508   1000  428.5   1000   1000  999.5   1000    608  623.5    983  529.5   1000  997.5   1000    936   1000  509.5   1000    999   1000   1000   1000   1000    755  532.5   1000   1000   1000   1000
    402    500    500    907   1000   1000    500  999.5  529.5    695   1000   1000    492    500   1000  498.5  988.5   1000   1000    970  975.5    500    500  917.5   1000  500.5    859    500   1000    500  935.5  502.5  566.5   1000   1000  632.5  994.5  411.5   1000   1000   1000   1000
      0      0      0      1  408.5  497.5      0      8   15.5    500    500  473.5      0      0    500      0    134   56.5    500      0    500      0     15      2  490.5      0      0      0  444.5      0      0      0      0  382.5   20.5      0  496.5      0    2.5    500    501  503.5
  158.5  999.5  937.5    506   1000  990.5  861.5   1000   1000    500  864.5    975  571.5  501.5   1000    500   1000   1000  998.5   1000    530  927.5   1000  509.5   1000    999   1000  996.5   1000  600.5   1000   1000   1000   1000   1000   1000  609.5  506.5   1000   1000   1000   1000
      0      0      0    364    630    500      0  482.5   38.5    500    500    500      0   11.5    866      0    500    498    500    131    500      0   42.5    443    500      0     27      0    500      0     57      0      4    865    498      2    500      0  449.5    500  502.5  513.5
      0      0      0      4  975.5    500     98  165.5  499.5    500    500  498.5      0      0  943.5      0    502    500    500    441    500      3  499.5   19.5    587      0   15.5      0  491.5      0      0     15  374.5    871  617.5      0    500      0   23.5    501  983.5  995.5
      0  489.5     16      0    501  192.5    500    500    500    490  500.5   60.5    0.5      0    500    1.5    500    500    500    500  140.5    500    500    0.5    509    369    500  477.5  500.5  450.5    500    500    500    500    500  499.5     23      0    500  977.5    924  868.5
      0      0      0  444.5  997.5    500   17.5  506.5    486    500    500    500      0     30   1000      0    869    559    500    500    500    0.5    487  479.5    516      0   54.5      0    500      0    131      2    136   1000    884      6    500    0.5  479.5    500  889.5    962
   85.5    500  496.5     93    500  628.5    500    500    500    509    985  507.5    392   24.5    500    470    500    500  859.5    500    500    500    500     88    528    500    500    500  502.5    500    500    500    500  500.5    500    500    476     89    500  990.5  967.5  939.5
   32.5    500    447    500   1000    500    625  968.5   1000    500    500    500  376.5    500   1000   72.5   1000    997    500  999.5    500    500  992.5    500  976.5  499.5  881.5  477.5    504     21    541  888.5   1000   1000    999  510.5    500    500    547    630   1000   1000
    1.5  360.5   60.5    500    894    500    4.5    500    723    500    500    500     17    500    985      0  957.5  500.5    500    513    500    7.5    500    500    500  433.5    500  121.5    500      0    500  469.5    500    986  538.5    500    500    486    500    500    537  601.5
  241.5    500    499    355   1000   1000    500  888.5    500    552  996.5    999  470.5   82.5    998  490.5    557  980.5  999.5  520.5    912    500    500    500   1000    500  500.5    500  999.5    500    508    500    500    993  949.5    500  973.5  241.5    747   1000   1000   1000
      0      0      0      0  522.5    432    259  257.5    500    500    500  138.5      0      0  509.5      0    500    413    491    484    472   23.5    500      0    500      0     84      0     65      0    2.5   82.5    464    503    496      0    361      0      2  507.5    994    993
      0    611   18.5    500   1000    569    500   1000    975    500    504    522    2.5  499.5   1000      1   1000   1000    631   1000    500  500.5  566.5    500   1000    500    998    458  988.5    370  998.5  877.5  991.5   1000   1000  986.5    500  445.5  997.5   1000   1000   1000
      0      1      0    490   1000    500    419    911  511.5    500    500    500      0    141   1000      0    973  984.5    500  945.5    500  118.5    500  499.5    916      2    500    0.5  501.5      0  381.5  248.5    524   1000   1000   64.5    500    0.5    512    540   1000   1000
    1.5  806.5    152    500   1000  510.5    512   1000   1000    500    500    503     64    500   1000    3.5   1000   1000  522.5   1000    500  522.5  878.5    500   1000    542  999.5    500    950    138  991.5  991.5   1000   1000   1000  955.5    500  497.5  990.5  997.5   1000   1000
      0    113      0    0.5    616  490.5    500    501    500    500    500  354.5      0      0  555.5      0    500  508.5  499.5    500  497.5    496    500    0.5    935   11.5  498.5     50    500   23.5    414    497    500    528  502.5    259    476      0    421  981.5  999.5   1000
    313  936.5    501    500   1000    523  953.5   1000   1000    500    502  509.5  490.5    500   1000  399.5   1000   1000  549.5   1000    500    979   1000    500   1000    630   1000    862  976.5    500    998   1000   1000   1000   1000    978    500    500    996  998.5   1000   1000
      0   28.5      0    474   1000    500    499    996  504.5    500    500    500      0   64.5   1000      0    943   1000    500    869    500    459    500    492  997.5    1.5  618.5    8.5    586      2    500  490.5    509   1000   1000    111    500    1.5  733.5    900   1000   1000
      0   62.5    3.5    500   1000    500  426.5    915    930    500    500    500      1  497.5   1000      0   1000    985    500    998    500  111.5  530.5    500  917.5  122.5  751.5    8.5    503      0  509.5    500    965   1000  999.5  491.5    500    367    514  541.5    999   1000
      0      2      0    499  999.5    500     40  535.5  636.5    500    500    500      0  433.5   1000      0    996  625.5    500    864    500      0    500    500    536    8.5    476      0    500      0    491     35    500  999.5    951  357.5    500     63    500    500    956  988.5
      0      0      0      1  486.5    499      0     22     13    500    500  489.5      0      0  617.5      0    135    129    500      0  499.5      0     14      7    497      0      0      0    472      0      0      0    0.5    500   64.5      0    498      0      7    500  501.5  503.5
      0      0      0     16    981    500    2.5  150.5    465    500    500    500      0      0  979.5      0    502  382.5    500    116    500      1  461.5   50.5    504      0      0      0  497.5      0      0    0.5     49  935.5    500      0    500      0   60.5    500    754    896
      0    102      0    500   1000  501.5    500   1000  571.5    500    500    501      0  367.5   1000      0    998   1000  500.5    994    500  489.5    500    500   1000   13.5  935.5   44.5    741     22    889  508.5  642.5   1000   1000    500    500     30    913    975   1000   1000
     27    500    488   28.5  506.5    853    500    500    500    502  953.5  554.5    245    5.5  503.5  390.5    500    500    977    500    524    500    500   26.5    639    500    500    500    524    500    500    500    500    502    500    500    500     29    500  997.5    994    993
  246.5  522.5    500  749.5   1000   1000    500   1000  854.5    564  995.5   1000  467.5  588.5   1000  493.5   1000   1000   1000  999.5    911    500    514  758.5   1000  554.5  999.5  502.5   1000    500  998.5    633    937   1000   1000    970    971    500   1000   1000   1000   1000
      0   22.5      0  110.5  999.5  500.5  499.5    884    500    500    500    500      0      0  997.5      0  550.5  976.5    500  520.5    500    453    500    253    998    2.5    488    9.5    579      4  266.5    486    500    993  939.5     87    500      0    500    884   1000   1000
      0      4      0      0    500      1  493.5  490.5    500  360.5    407      0      0      0    500      0    500    499   22.5    500    9.5    370    500      0  492.5      0    460    2.5   18.5    1.5    100  458.5    500    500    500     25    2.5      0    116    500  628.5  562.5
      0      0      0      0  491.5   11.5    2.5      3    461    435  465.5      1      0      0    499      0  497.5   16.5     76  110.5   32.5      0    463      0      6      0      0      0    0.5      0      0      1     44  498.5    246      0      6      0      0  371.5    500  540.5
      0      0      0      0    463     20      0    0.5  386.5  472.5  487.5    0.5      0      0  496.5      0  486.5    4.5  131.5     38   60.5      0  398.5      0      7      0      0      0      0      0      0      0   11.5  496.5    104      0      7      0      0  437.5  459.5    500
]
