n: 30
g: 4
D: 22
a:
[ 
    500    363  501.5    504  468.5  742.5  702.5  495.5    516  368.5    500  289.5    500    280    536    447    377    492    630    736    720    462    660  705.5    500    493    500  494.5    500  626.5
    637    500  502.5    500  475.5  501.5    501    638  500.5    155    305    171    296   42.5    742    455    250    259    728    500    750  270.5    750  689.5  492.5  477.5    254  487.5    534  622.5
  498.5  497.5    500  445.5  138.5  623.5  436.5  529.5  524.5  483.5    243    250    495    197  264.5    250      3    253    499  255.5  487.5    250    497    250  255.5    268  227.5    252    371    508
    496    500  554.5    500  376.5    747    510    535  708.5    500    289    500    500    218    513    251      0    259  503.5  499.5    760    250    746    500  485.5    245    289  303.5  382.5    750
  531.5  524.5  861.5  623.5    500   1000    984    750  984.5  527.5  697.5  497.5    750    266  760.5    376  306.5    500  748.5    829  958.5  493.5  992.5  736.5  550.5    501    552    473  609.5  998.5
  257.5  498.5  376.5    253      0    500  431.5    497  308.5    483  460.5    250  684.5    0.5  492.5    250     59  499.5    263    356    500  229.5  271.5    500    438    257      0   51.5  260.5    522
  297.5    499  563.5    490     16  568.5    500    498  289.5    483  483.5    250  495.5    234    250    250    8.5    375  293.5  223.5  472.5    250  265.5    253  261.5  468.5  243.5    250    250    335
  504.5    362  470.5    465    250    503    502    500  497.5   53.5  257.5    242  304.5    0.5    557    284    250  311.5    741    500    742  210.5  747.5    501  272.5  251.5  232.5    142    657  740.5
    484  499.5  475.5  291.5   15.5  691.5  710.5  502.5    500  497.5    491    250  506.5    2.5  305.5    250      0  499.5    488  275.5  564.5    247    449  451.5    474    312      7  185.5    260    784
  631.5    845  516.5    500  472.5    517    517  946.5  502.5    500  554.5  353.5  713.5    235    750  501.5  263.5    697    750    500    750    542    750    750    509    500    490  496.5  743.5    749
    500    695    757    711  302.5  539.5  516.5  742.5    509  445.5    500    250    481    244    500    250   19.5  308.5    500  300.5  633.5    309    500  482.5  502.5    621  254.5  499.5    500  509.5
  710.5    829    750    500  502.5    750    750    758    750  646.5    750    500    741  349.5    955  528.5  280.5    502  722.5  543.5    985  499.5    993    871  503.5    500  500.5    499    546  873.5
    500    704    505    500    250  315.5  504.5  695.5  493.5  286.5    519    259    500   53.5    718    252   19.5  725.5  500.5  439.5    750    374    504  748.5    545    500    193  252.5    501    750
    720  957.5    803    782    734  999.5    766  999.5  997.5    765    756  650.5  946.5    500   1000  501.5  253.5  744.5  750.5  750.5   1000    748   1000    999    959    745    872    768  753.5   1000
    464    258  735.5    487  239.5  507.5    750    443  694.5    250    500     45    282      0    500     46      1    250    290  324.5    934      0  689.5  510.5    291    259    0.5   38.5    237    747
    553    545    750    749    624    750    750    716    750  498.5    750  471.5    748  498.5    954    500    360    716    864    750    997  619.5  985.5    997    750  727.5    745  716.5    755  778.5
    623    750    997   1000  693.5    941  991.5    750   1000  736.5  980.5  719.5  980.5  746.5    999    640    500  988.5  768.5    936   1000    709  805.5   1000  999.5  995.5    750  749.5  765.5   1000
    508    741    747    741    500  500.5    625  688.5  500.5    303  691.5    498  274.5  255.5    750    284   11.5    500  707.5    500    973    243    750  750.5    516  610.5    298  495.5  716.5  777.5
    370    272    501  496.5  251.5    737  706.5    259    512    250    500  277.5  499.5  249.5    710    136  231.5  292.5    500  737.5    750     19  731.5    749    500  300.5  295.5    240    334    653
    264    500  744.5  500.5    171    644  776.5    500  724.5    500  699.5  456.5  560.5  249.5  675.5    250     64    500  262.5    500  745.5    250    506  697.5  506.5    500  262.5    250  250.5    763
    280    250  512.5    240   41.5    500  527.5    258  435.5    250  366.5     15    250      0     66      3      0     27    250  254.5    500      0    435   96.5    2.5  121.5    0.5      0   29.5  479.5
    538  729.5    750    750  506.5  770.5    750  789.5    753    458    691  500.5    626    252   1000  380.5    291    757    981    750   1000    500  995.5  994.5    796    722    468    545  984.5   1000
    340    250    503    254    7.5  728.5  734.5  252.5    551    250    500      7    496      0  310.5   14.5  194.5    250  268.5    494    565    4.5    500    460  250.5    250   14.5      1     57    673
  294.5  310.5    750    500  263.5    500    747    499  548.5    250  517.5    129  251.5      1  489.5      3      0  249.5    251  302.5  903.5    5.5    540    500  433.5  440.5      4    232    250    729
    500  507.5  744.5  514.5  449.5    562  738.5  727.5    526    491  497.5  496.5    455     41    709    250    0.5    484    500  493.5  997.5    204  749.5  566.5    500    285  126.5    134    496    935
    507  522.5    732    755    499    743  531.5  748.5    688    500    379    500    500    255    741  272.5    4.5  389.5  699.5    500  878.5    278    750  559.5    715    500  265.5    671  732.5  761.5
    500    746  772.5    711    448   1000  756.5  767.5    993    510  745.5  499.5    807    128  999.5    255    250    702  704.5  737.5  999.5    532  985.5    996  873.5  734.5    500    517  712.5   1000
  505.5  512.5    748  696.5    527  948.5    750    858  814.5  503.5  500.5    501  747.5    232  961.5  283.5  250.5  504.5    760    750   1000    455    999    768    866    329    483    500    804   1000
    500    466    629  617.5  390.5  739.5    750    343    740  256.5    500    454    499  246.5    763    245  234.5  283.5    666  749.5  970.5   15.5    943    750    504  267.5  287.5    196    500  962.5
  373.5  377.5    492    250    1.5    478    665  259.5    216    251  490.5  126.5    250      0    253  221.5      0  222.5    347    237  520.5      0    327    271     65  238.5      0      0   37.5    500
]
